Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Religion,M1B,  Other Protestant,"Religion, Protestant",  Other Protestant,,,,,3685.0
Religion,M1B,Other Religions,Other Religions,,,,,,10290.0
Religion,M1B,  Eastern Orthodox,Other Religions,  Eastern Orthodox,,,,,975.0
Religion,M1B,  Jewish,Other Religions,  Jewish,,,,,35.0
Religion,M1B,  Islam,Other Religions,  Islam,,,,,2780.0
Religion,M1B,  Buddhist,Other Religions,  Buddhist,,,,,660.0
Religion,M1B,  Hindu,Other Religions,  Hindu,,,,,4795.0
Religion,M1B,  Sikh,Other Religions,  Sikh,,,,,760.0
Religion,M1B,Other (other religions) (4),Other (other religions) (4),,,,,,285.0
Religion,M1B,No religious affiliation,No religious affiliation,,,,,,7720.0
Religion,M1C,"Religion, Catholic","Religion, Catholic",,,,,,9680.0
Religion,M1C,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,9580.0
Religion,M1C,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,105.0
Religion,M1C,"Religion, Protestant","Religion, Protestant",,,,,,11775.0
Religion,M1C,  United Church,"Religion, Protestant",  United Church,,,,,3155.0
Religion,M1C,  Anglican,"Religion, Protestant",  Anglican,,,,,3460.0
Religion,M1C,  Baptist,"Religion, Protestant",  Baptist,,,,,630.0
Religion,M1C,  Presbyterian,"Religion, Protestant",  Presbyterian,,,,,1500.0
Religion,M1C,  Lutheran,"Religion, Protestant",  Lutheran,,,,,580.0
Religion,M1C,  Pentecostal,"Religion, Protestant",  Pentecostal,,,,,350.0
Religion,M1C,  Mennonite,"Religion, Protestant",  Mennonite,,,,,0.0
Religion,M1C,  Jehovah's Witnesses,"Religion, Protestant",  Jehovah's Witnesses,,,,,105.0
Religion,M1C,  Reformed Bodies,"Religion, Protestant",  Reformed Bodies,,,,,15.0
Religion,M1C,  Salvation Army,"Religion, Protestant",  Salvation Army,,,,,80.0
Religion,M1C,  Latter-day Saints (Mormons),"Religion, Protestant",  Latter-day Saints (Mormons),,,,,90.0
Religion,M1C,  Other Protestant,"Religion, Protestant",  Other Protestant,,,,,1805.0
Religion,M1C,Other Religions,Other Religions,,,,,,2885.0
Religion,M1C,  Eastern Orthodox,Other Religions,  Eastern Orthodox,,,,,1115.0
Religion,M1C,  Jewish,Other Religions,  Jewish,,,,,25.0
Religion,M1C,  Islam,Other Religions,  Islam,,,,,715.0
Religion,M1C,  Buddhist,Other Religions,  Buddhist,,,,,175.0
Religion,M1C,  Hindu,Other Religions,  Hindu,,,,,700.0
Religion,M1C,  Sikh,Other Religions,  Sikh,,,,,125.0
Religion,M1C,Other (other religions) (4),Other (other religions) (4),,,,,,30.0
Religion,M1C,No religious affiliation,No religious affiliation,,,,,,4495.0
Religion,M1E,"Religion, Catholic","Religion, Catholic",,,,,,12400.0
Religion,M1E,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,12210.0
Religion,M1E,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,190.0
Religion,M1E,"Religion, Protestant","Religion, Protestant",,,,,,19990.0
Religion,M1E,  United Church,"Religion, Protestant",  United Church,,,,,4070.0
Religion,M1E,  Anglican,"Religion, Protestant",  Anglican,,,,,5680.0
Religion,M1E,  Baptist,"Religion, Protestant",  Baptist,,,,,1515.0
Religion,M1E,  Presbyterian,"Religion, Protestant",  Presbyterian,,,,,2565.0
Religion,M1E,  Lutheran,"Religion, Protestant",  Lutheran,,,,,1110.0
Religion,M1E,  Pentecostal,"Religion, Protestant",  Pentecostal,,,,,965.0
Religion,M1E,  Mennonite,"Religion, Protestant",  Mennonite,,,,,70.0
Religion,M1E,  Jehovah's Witnesses,"Religion, Protestant",  Jehovah's Witnesses,,,,,195.0
