Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Mobility status,M1T,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,5095.0
Mobility status,M1T,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,6475.0
Mobility status,M1T,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,2775.0
Mobility status,M1T,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,2300.0
Mobility status,M1T,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,475.0
Mobility status,M1T,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,3700.0
Mobility status,M1V,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,48395.0
Mobility status,M1V,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,38455.0
Mobility status,M1V,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,9935.0
Mobility status,M1V,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,6050.0
Mobility status,M1V,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,255.0
Mobility status,M1V,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,3630.0
Mobility status,M1V,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,45465.0
Mobility status,M1V,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,18220.0
Mobility status,M1V,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,27245.0
Mobility status,M1V,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,9680.0
Mobility status,M1V,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,17565.0
Mobility status,M1V,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,4615.0
Mobility status,M1V,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,3630.0
Mobility status,M1V,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,990.0
Mobility status,M1V,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,12950.0
Mobility status,M1W,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,46845.0
Mobility status,M1W,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,39120.0
Mobility status,M1W,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,7725.0
Mobility status,M1W,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,5480.0
Mobility status,M1W,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,290.0
Mobility status,M1W,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,1945.0
Mobility status,M1W,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,44750.0
Mobility status,M1W,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,21300.0
Mobility status,M1W,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,23450.0
Mobility status,M1W,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,8265.0
Mobility status,M1W,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,15185.0
Mobility status,M1W,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,4660.0
Mobility status,M1W,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,3780.0
Mobility status,M1W,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,885.0
Mobility status,M1W,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,10525.0
Mobility status,M1X,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,1360.0
Mobility status,M1X,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,1265.0
Mobility status,M1X,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,100.0
Mobility status,M1X,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,45.0
Mobility status,M1X,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,10.0
Mobility status,M1X,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,50.0
Mobility status,M1X,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,1290.0
Mobility status,M1X,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,40.0
Mobility status,M1X,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,1250.0
Mobility status,M1X,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,780.0
Mobility status,M1X,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,470.0
Mobility status,M1X,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,260.0
Mobility status,M1X,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,250.0
Mobility status,M1X,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,10.0
Mobility status,M1X,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,215.0
Mobility status,M2H,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,25785.0
Mobility status,M2H,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,22390.0
Mobility status,M2H,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,3400.0
Mobility status,M2H,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,2315.0
Mobility status,M2H,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,175.0
Mobility status,M2H,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,920.0
Mobility status,M2H,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,24740.0
Mobility status,M2H,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,14345.0
Mobility status,M2H,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,10395.0
Mobility status,M2H,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,4160.0
Mobility status,M2H,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,6235.0
Mobility status,M2H,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,2355.0
Mobility status,M2H,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,1730.0
Mobility status,M2H,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,620.0
Mobility status,M2H,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,3880.0
Mobility status,M2J,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,51170.0
Mobility status,M2J,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,43490.0
Mobility status,M2J,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,7680.0
Mobility status,M2J,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,5680.0
Mobility status,M2J,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,315.0
Mobility status,M2J,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,1690.0
Mobility status,M2J,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,49205.0
Mobility status,M2J,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,27955.0
Mobility status,M2J,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,21250.0
Mobility status,M2J,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,7750.0
Mobility status,M2J,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,13495.0
Mobility status,M2J,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,5210.0
Mobility status,M2J,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,4065.0
Mobility status,M2J,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,1140.0
Mobility status,M2J,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,8295.0
Mobility status,M2K,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,13095.0
Mobility status,M2K,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,11265.0
Mobility status,M2K,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,1830.0
Mobility status,M2K,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,1345.0
Mobility status,M2K,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,100.0
Mobility status,M2K,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,380.0
Mobility status,M2K,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,12620.0
Mobility status,M2K,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,7665.0
Mobility status,M2K,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,4955.0
Mobility status,M2K,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,2485.0
Mobility status,M2K,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,2470.0
Mobility status,M2K,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,1120.0
Mobility status,M2K,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,960.0
Mobility status,M2K,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,165.0
Mobility status,M2K,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,1350.0
Mobility status,M2L,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,12150.0
Mobility status,M2L,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,10540.0
Mobility status,M2L,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,1610.0
Mobility status,M2L,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,1380.0
Mobility status,M2L,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,10.0
Mobility status,M2L,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,220.0
Mobility status,M2L,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,11690.0
Mobility status,M2L,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,7280.0
Mobility status,M2L,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,4405.0
Mobility status,M2L,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,2225.0
Mobility status,M2L,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,2185.0
Mobility status,M2L,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,965.0
Mobility status,M2L,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,825.0
Mobility status,M2L,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,145.0
Mobility status,M2L,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,1215.0
Mobility status,M2M,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,25990.0
Mobility status,M2M,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,21650.0
Mobility status,M2M,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,4340.0
Mobility status,M2M,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,3375.0
Mobility status,M2M,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,165.0
Mobility status,M2M,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,800.0
Mobility status,M2M,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,25120.0
Mobility status,M2M,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,14470.0
Mobility status,M2M,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,10655.0
Mobility status,M2M,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,4540.0
Mobility status,M2M,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,6115.0
Mobility status,M2M,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,2650.0
Mobility status,M2M,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,2175.0
Mobility status,M2M,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,475.0
Mobility status,M2M,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,3465.0
Mobility status,M2N,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,31465.0
Mobility status,M2N,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,25855.0
Mobility status,M2N,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,5610.0
Mobility status,M2N,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,4540.0
Mobility status,M2N,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,285.0
Mobility status,M2N,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,790.0
Mobility status,M2N,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,30395.0
Mobility status,M2N,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,15940.0
Mobility status,M2N,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,14455.0
Mobility status,M2N,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,6720.0
Mobility status,M2N,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,7740.0
Mobility status,M2N,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,4455.0
Mobility status,M2N,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,3475.0
Mobility status,M2N,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,980.0
Mobility status,M2N,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,3285.0
Mobility status,M2P,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,5735.0
Mobility status,M2P,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,5040.0
Mobility status,M2P,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,700.0
Mobility status,M2P,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,580.0
Mobility status,M2P,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,10.0
Mobility status,M2P,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,110.0
Mobility status,M2P,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,5470.0
Mobility status,M2P,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,3590.0
Mobility status,M2P,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,1875.0
Mobility status,M2P,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,1115.0
Mobility status,M2P,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,765.0
Mobility status,M2P,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,480.0
Mobility status,M2P,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,395.0
Mobility status,M2P,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,85.0
Mobility status,M2P,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,285.0
Mobility status,M2R,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,36695.0
Mobility status,M2R,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,31060.0
Mobility status,M2R,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,5635.0
Mobility status,M2R,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,3735.0
Mobility status,M2R,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,120.0
Mobility status,M2R,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,1775.0
Mobility status,M2R,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,35320.0
Mobility status,M2R,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,18520.0
Mobility status,M2R,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,16805.0
Mobility status,M2R,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,6900.0
Mobility status,M2R,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,9900.0
Mobility status,M2R,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,3120.0
Mobility status,M2R,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,2245.0
Mobility status,M2R,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,875.0
Mobility status,M2R,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,6785.0
Mobility status,M3A,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,31155.0
Mobility status,M3A,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,25845.0
Mobility status,M3A,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,5310.0
Mobility status,M3A,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,4390.0
Mobility status,M3A,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,120.0
Mobility status,M3A,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,800.0
Mobility status,M3A,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,29880.0
Mobility status,M3A,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,16505.0
Mobility status,M3A,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,13375.0
Mobility status,M3A,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,5580.0
Mobility status,M3A,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,7795.0
