Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,340
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,315
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,340
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,595
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,2185
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,290
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,1165
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,3480
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,345
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,625
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,55
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,10305
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,980
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,460
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,665
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,1005
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,3445
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,340
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,195
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,705
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,1930
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,525
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,50
M1C,Total population 15 to 24 years by school attendance - 20% Sample Data,,,,,,,5545
M1C,Total population 15 to 24 years by school attendance - 20% Sample Data,Not attending school,,,,,,1415
M1C,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school full time,,,,,,3840
M1C,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school part time,,,,,,290
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,7665
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,370
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,225
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,305
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,745
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,1625
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,200
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,905
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,2335
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,300
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,645
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,0
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,6840
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,1125
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,305
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,465
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,840
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,2140
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,250
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,105
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,310
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,990
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,280
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,30
M1G,Total population 15 to 24 years by school attendance - 20% Sample Data,,,,,,,3980
M1G,Total population 15 to 24 years by school attendance - 20% Sample Data,Not attending school,,,,,,1300
M1G,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school full time,,,,,,2435
M1G,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school part time,,,,,,245
M1G,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,4610
M1G,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,195
M1G,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,155
M1G,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,195
M1G,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,295
M1G,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,850
M1G,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,200
M1G,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,650
M1G,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,1540
M1G,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,135
M1G,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,380
M1G,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,10
M1G,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,4375
M1G,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,515
M1G,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,225
M1G,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,355
M1G,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,520
M1G,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,1265
M1G,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,215
M1G,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,135
M1G,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,270
M1G,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,655
M1G,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,190
M1G,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,35
M1H,Total population 15 to 24 years by school attendance - 20% Sample Data,,,,,,,2550
M1H,Total population 15 to 24 years by school attendance - 20% Sample Data,Not attending school,,,,,,725
M1H,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school full time,,,,,,1645
M1H,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school part time,,,,,,185
M1H,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,3935
M1H,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,140
M1H,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,135
M1H,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,135
M1H,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,245
M1H,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,840
M1H,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,145
M1H,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,635
M1H,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,1080
M1H,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,210
M1H,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,380
M1H,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,0
M1H,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,3545
M1H,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,405
M1H,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,235
M1H,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,245
M1H,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,280
M1H,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,1230
M1H,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,150
M1H,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,75
M1H,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,145
M1H,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,545
M1H,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,215
M1H,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,20
M1J,Total population 15 to 24 years by school attendance - 20% Sample Data,,,,,,,5100
M1J,Total population 15 to 24 years by school attendance - 20% Sample Data,Not attending school,,,,,,1835
M1J,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school full time,,,,,,2870
M1J,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school part time,,,,,,400
M1J,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,5580
M1J,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,250
M1J,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,180
M1J,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,255
M1J,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,380
M1J,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,990
M1J,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,260
M1J,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,710
M1J,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,1900
M1J,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,255
M1J,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,400
M1J,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,10
M1J,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,5480
M1J,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,580
M1J,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,355
M1J,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,355
M1J,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,470
M1J,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,1770
M1J,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,315
M1J,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,135
M1J,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,325
M1J,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,905
M1J,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,250
M1J,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,15
M1K,Total population 15 to 24 years by school attendance - 20% Sample Data,,,,,,,5780
M1K,Total population 15 to 24 years by school attendance - 20% Sample Data,Not attending school,,,,,,2080
M1K,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school full time,,,,,,3415
M1K,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school part time,,,,,,285
M1K,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,6845
M1K,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,230
M1K,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,265
M1K,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,295
M1K,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,550
M1K,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,1045
M1K,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,265
M1K,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,910
M1K,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,2405
M1K,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,330
M1K,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,545
M1K,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,10
M1K,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,7550
M1K,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,730
