Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
Ontario,Total population by sex and age groups - 100% Data,"Female, total",30 to 34,,,,,424325
Ontario,Total population by sex and age groups - 100% Data,"Female, total",35 to 39,,,,,502240
Ontario,Total population by sex and age groups - 100% Data,"Female, total",40 to 44,,,,,493445
Ontario,Total population by sex and age groups - 100% Data,"Female, total",45 to 49,,,,,439655
Ontario,Total population by sex and age groups - 100% Data,"Female, total",50 to 54,,,,,394085
Ontario,Total population by sex and age groups - 100% Data,"Female, total",55 to 59,,,,,296380
Ontario,Total population by sex and age groups - 100% Data,"Female, total",60 to 64,,,,,247055
Ontario,Total population by sex and age groups - 100% Data,"Female, total",65 to 69,,,,,225095
Ontario,Total population by sex and age groups - 100% Data,"Female, total",70 to 74,,,,,209445
Ontario,Total population by sex and age groups - 100% Data,"Female, total",75 to 79,,,,,183360
Ontario,Total population by sex and age groups - 100% Data,"Female, total",80 to 84,,,,,118305
Ontario,Total population by sex and age groups - 100% Data,"Female, total",85+,,,,,104815
M1B,"Population, 2001 - 100% Data",,,,,,,61566
M1B,Total population by sex and age groups - 100% Data,,,,,,,61565
M1B,Total population by sex and age groups - 100% Data,"Male, total",,,,,,29805
M1B,Total population by sex and age groups - 100% Data,"Male, total",0 to 4,,,,,2120
M1B,Total population by sex and age groups - 100% Data,"Male, total",5 to 9,,,,,2540
M1B,Total population by sex and age groups - 100% Data,"Male, total",10 to 14,,,,,2565
M1B,Total population by sex and age groups - 100% Data,"Male, total",15 to 19,,,,,2545
M1B,Total population by sex and age groups - 100% Data,"Male, total",20 to 24,,,,,2475
M1B,Total population by sex and age groups - 100% Data,"Male, total",25 to 29,,,,,2130
M1B,Total population by sex and age groups - 100% Data,"Male, total",30 to 34,,,,,2145
M1B,Total population by sex and age groups - 100% Data,"Male, total",35 to 39,,,,,2455
M1B,Total population by sex and age groups - 100% Data,"Male, total",40 to 44,,,,,2335
M1B,Total population by sex and age groups - 100% Data,"Male, total",45 to 49,,,,,2055
M1B,Total population by sex and age groups - 100% Data,"Male, total",50 to 54,,,,,2125
M1B,Total population by sex and age groups - 100% Data,"Male, total",55 to 59,,,,,1500
M1B,Total population by sex and age groups - 100% Data,"Male, total",60 to 64,,,,,1040
M1B,Total population by sex and age groups - 100% Data,"Male, total",65 to 69,,,,,740
M1B,Total population by sex and age groups - 100% Data,"Male, total",70 to 74,,,,,490
M1B,Total population by sex and age groups - 100% Data,"Male, total",75 to 79,,,,,325
M1B,Total population by sex and age groups - 100% Data,"Male, total",80 to 84,,,,,165
M1B,Total population by sex and age groups - 100% Data,"Male, total",85+,,,,,70
M1B,Total population by sex and age groups - 100% Data,"Female, total",,,,,,31760
M1B,Total population by sex and age groups - 100% Data,"Female, total",0 to 4,,,,,2070
M1B,Total population by sex and age groups - 100% Data,"Female, total",5 to 9,,,,,2370
M1B,Total population by sex and age groups - 100% Data,"Female, total",10 to 14,,,,,2380
M1B,Total population by sex and age groups - 100% Data,"Female, total",15 to 19,,,,,2275
M1B,Total population by sex and age groups - 100% Data,"Female, total",20 to 24,,,,,2465
M1B,Total population by sex and age groups - 100% Data,"Female, total",25 to 29,,,,,2375
M1B,Total population by sex and age groups - 100% Data,"Female, total",30 to 34,,,,,2485
M1B,Total population by sex and age groups - 100% Data,"Female, total",35 to 39,,,,,2810
M1B,Total population by sex and age groups - 100% Data,"Female, total",40 to 44,,,,,2615
M1B,Total population by sex and age groups - 100% Data,"Female, total",45 to 49,,,,,2480
M1B,Total population by sex and age groups - 100% Data,"Female, total",50 to 54,,,,,2390
M1B,Total population by sex and age groups - 100% Data,"Female, total",55 to 59,,,,,1610
M1B,Total population by sex and age groups - 100% Data,"Female, total",60 to 64,,,,,1150
M1B,Total population by sex and age groups - 100% Data,"Female, total",65 to 69,,,,,835
M1B,Total population by sex and age groups - 100% Data,"Female, total",70 to 74,,,,,630
M1B,Total population by sex and age groups - 100% Data,"Female, total",75 to 79,,,,,430
M1B,Total population by sex and age groups - 100% Data,"Female, total",80 to 84,,,,,250
M1B,Total population by sex and age groups - 100% Data,"Female, total",85+,,,,,135
M1C,"Population, 2001 - 100% Data",,,,,,,34988
M1C,Total population by sex and age groups - 100% Data,,,,,,,34985
M1C,Total population by sex and age groups - 100% Data,"Male, total",,,,,,17265
M1C,Total population by sex and age groups - 100% Data,"Male, total",0 to 4,,,,,955
M1C,Total population by sex and age groups - 100% Data,"Male, total",5 to 9,,,,,1200
M1C,Total population by sex and age groups - 100% Data,"Male, total",10 to 14,,,,,1335
M1C,Total population by sex and age groups - 100% Data,"Male, total",15 to 19,,,,,1475
M1C,Total population by sex and age groups - 100% Data,"Male, total",20 to 24,,,,,1335
M1C,Total population by sex and age groups - 100% Data,"Male, total",25 to 29,,,,,1055
M1C,Total population by sex and age groups - 100% Data,"Male, total",30 to 34,,,,,970
M1C,Total population by sex and age groups - 100% Data,"Male, total",35 to 39,,,,,1225
M1C,Total population by sex and age groups - 100% Data,"Male, total",40 to 44,,,,,1370
